CRAWFORD (HK)                                               ~CRAWFORD (HONG KONG) LTD.               ~                                        ~24/F., Sunshine Plaza                   ~353 Lockhart Road, Wanchai              ~Hong Kong                               ~ ~Hong Kong                       ~HKG~   ~24~1
CRAWFORD (HK)                                               ~CRAWFORD (HONG KONG) LTD.               ~                                        ~24/F., Sunshine Plaza                   ~353 Lockhart Road, Wanchai              ~Hong Kong                               ~ ~Hong Kong                       ~HKG~   ~24~1
SENATOR GROUP                                               ~SENATOR INSURANCE SERVICES LIMITED      ~                                        ~14 Fenchurch Avenue                     ~                                        ~London  EC3M 5BS                        ~ ~London                          ~GBR~   ~14~1
CUNNINGHAM LINDSEY NZ                                       ~CUNNINGHAM LINDSEY NEW ZEALAND LTD      ~                                        ~Level 5&6, Cnr Kent & Crowhurst Streets ~Newmarket                               ~Auckland                                ~ ~Auckland                        ~NZL~   ~5~7
CRAWFORD                                                    ~CRAWFORD                                ~                                        ~CNZ ( Auckland ) Ltd                    ~PO Box 3744 Wellesley street            ~Auckland 1141                           ~ ~Auckland                        ~NZL~   ~~
INTEGRA NEW ZEALAND                                         ~INTEGRA NEW ZEALAND                     ~                                        ~Level 27 PWC Tower                      ~188 Quay St.                            ~1010                                    ~ ~Auckland                        ~NZL~   ~27~7
CUNNINGHAM LINDSEY NZ                                       ~CUNNINGHAM LINDSEY NEW ZEALAND LTD      ~                                        ~Level 5&6, Cnr Kent & Crowhurst Streets ~Newmarket                               ~Auckland                                ~ ~Auckland                        ~NZL~   ~5~7
R.J. NELLIGAN & ASSOCIATE                                   ~R.J. NELLIGAN & ASSOCIATES LTD          ~                                        ~1/1 BURNS AVENUE                        ~                                        ~TAKAPUNA                                ~ ~AUCKLAND                        ~NZL~   ~1/1~1
CRAWFORD                                                    ~CRAWFORD                                ~                                        ~CNZ ( Auckland ) Ltd                    ~PO Box 3744 Wellesley street            ~Auckland 1141                           ~ ~Auckland                        ~NZL~   ~~
SEDGWICK LLP                                                ~SEDGWICK LLP                            ~                                        ~2301 McGee Street, Suite 500            ~                                        ~Kansas City, Missouri 64108-2662        ~ ~Kansas City, Missouri           ~USA~MO ~2301~1
CHUBB NEW ZEALAND                                           ~CHUBB INSURANCE NEW ZEALAND LIMITED     ~                                        ~CU13, Shed 24 Princes Wharf Auckland   ~1010                                    ~Auckland 1010                           ~ ~Auckland                        ~NZL~   ~3~5
CHARLES TAYLOR - CTA                                        ~CHARLES TAYLOR ADJUSTING LTD            ~                                        ~88 Leadenhall Street                    ~                                        ~LONDON EC3A 3BA                         ~ ~LONDON                          ~GBR~   ~88~1
KENNEDYS                                                    ~KENNEDYS LAW                            ~                                        ~25 Fenchurch Avenue                     ~                                        ~London EC3M 5AD                         ~ ~London                          ~GBR~   ~25~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
INTEGRA NEW ZEALAND                                         ~INTEGRA NEW ZEALAND                     ~                                        ~Level 27 PWC Tower                      ~188 Quay St.                            ~1010                                    ~ ~Auckland                        ~NZL~   ~27~7
TPA GODFREYS                                                ~TPA GODFREYS                            ~                                        ~Level 4 Gibson Sheat Centre             ~81 Queens drive Lower Hutt 5010         ~PO Box 38 600                           ~ ~Wellington                      ~NZL~   ~5010~56
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   ~1~1
UNIQUE INSURANCE SOLUTIONS LTD                              ~UNIQUE INSURANCE SOLUTIONS LIMITED      ~                                        ~Orchard House                           ~66a Victoria Road                       ~Chelmsford                              ~ ~Essex   CM1 1PA                 ~GBR~   ~66a~15
SENATOR GROUP                                               ~SENATOR INSURANCE SERVICES LIMITED      ~                                        ~14 Fenchurch Avenue                     ~                                        ~London  EC3M 5BS                        ~ ~London                          ~GBR~   ~14~1
GALLAGHER LONDON                                            ~ARTHUR J. GALLAGHER (UK) LIMITED        ~                                        ~9 Alie Street                           ~                                        ~London E1 8DE                           ~ ~LONDON                          ~GBR~   ~9~1
Vitesse Re MP_ManyPets_SCOR Funding Account_GBP             ~SEDGWICK INTERNATIONAL UK               ~                                        ~60 Fenchurch Street                     ~                                        ~London EC3M 4AD                         ~EC3M 4AD~London                          ~GBR~   ~60~1
Vitesse Re MP_ManyPets_SCOR Funding Account_GBP             ~SEDGWICK INTERNATIONAL UK               ~                                        ~60 Fenchurch Street                     ~                                        ~London EC3M 4AD                         ~EC3M 4AD~London                          ~GBR~   ~60~1
GALLAGHER RE (UK)                                           ~NORDIC FORSAKRING & RISKHANTERING AB    ~                                        ~The Walbrook Building - 25 Walbrook     ~                                        ~LONDON EC4N 8AW                         ~ ~LONDON                          ~GBR~   ~25~25
WOOLWORTHS GROUP LIMITED                                    ~WOOLWORTHS GROUP LIMITED                ~                                        ~1 Woolworths Way -                      ~                                        ~Bella Vista 2153                        ~ ~Bella Vista                     ~AUS~   ~1~1
Vitesse Re SIUKTrust Castel MGA Claims GBP 2021 GBP         ~SEDGWICK INTERNATIONAL UK               ~                                        ~60 Fenchurch Street                     ~                                        ~London EC3M 4AD                         ~EC3M 4AD~London                          ~GBR~   ~60~1
ARAG                                                        ~ARAG PLC                                ~                                        ~9 Whiteladies Road Clifton Bristol BS8  ~1NN                                     ~Brisol                                  ~ ~Brisol                          ~GBR~ENG~9~1
MILLER INS SERVICES LLP                                     ~MILLER INSURANCE SERVICES LLP           ~                                        ~70, Mark Lane                           ~                                        ~LONDON EC3R 7NQ                         ~ ~LONDON                          ~GBR~   ~70~1
LOCKTON RE LLP                                              ~LOCKTON COMPANIES LLP                   ~                                        ~The St. Botolph Building - 138          ~Houndsditch                             ~LONDON EC3A 7AG                         ~EC3A 7AG~LONDON                          ~GBR~   ~138~28
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~Tower Place West -                      ~                                        ~LONDON EC3R 5BU                         ~ ~LONDON                          ~GBR~   ~~
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~ ~LONDON                          ~GBR~   ~1~1
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~ ~LONDON                          ~GBR~   ~1~1
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~ ~LONDON                          ~GBR~   ~1~1
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~ ~LONDON                          ~GBR~   ~1~1
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~ ~LONDON                          ~GBR~   ~1~1
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~Tower Place West -                      ~                                        ~LONDON EC3R 5BU                         ~ ~LONDON                          ~GBR~   ~~
CLYDE & CO                                                  ~CLYDE & CO                              ~                                        ~St Botolph Building 138 Houndsditch     ~                                        ~London EC3A 7AR                         ~ ~London                          ~GBR~   ~138~21
Clyde & Co                                                  ~CLYDE & CO                              ~                                        ~St Botolph Building 138 Houndsditch     ~                                        ~London EC3A 7AR                         ~ ~London                          ~GBR~   ~138~21
WILLIS LIMITED                                              ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   ~~
WILLIS LIMITED                                              ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   ~~
WILLIS LIMITED                                              ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   ~~
WILLIS LIMITED                                              ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   ~~
WILLIS LTD (LONDON HQ)                                      ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   ~~
